"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: latin1","Param: nbBytes","Param: nbChars"
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,2080.193583,71.974866,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,2095.211268,57.567558,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel","avgt",1,50,5435.512637,166.865926,"ns/op",,32178,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,2877.494344,117.046211,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,2949.993028,64.851214,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile","avgt",1,50,6641.618782,309.856533,"ns/op",,32178,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,3404.920423,132.348368,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,3651.765352,141.997695,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream","avgt",1,50,7149.187891,463.787079,"ns/op",,32178,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,2052.036393,58.181813,"ns/op",,16,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,2139.113536,66.750670,"ns/op",,4096,
"org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles","avgt",1,50,5553.511784,254.357182,"ns/op",,32178,
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,2394.855708,57.331251,"ns/op",true,,16
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,2584.187311,78.966504,"ns/op",true,,256
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,5801.994158,265.409412,"ns/op",true,,4096
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,20362.287774,488.586995,"ns/op",true,,32178
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,297766.149284,7236.989429,"ns/op",true,,524288
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,2534.826891,102.837112,"ns/op",false,,16
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,3542.192392,141.812444,"ns/op",false,,256
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,21183.457083,739.994913,"ns/op",false,,4096
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,146936.288573,1357.355479,"ns/op",false,,32178
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel","avgt",1,50,2235765.798079,81815.911752,"ns/op",false,,524288
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,3339.898791,184.098213,"ns/op",true,,16
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,3491.831272,111.267638,"ns/op",true,,256
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,6461.068204,342.399635,"ns/op",true,,4096
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,21474.227009,465.348821,"ns/op",true,,32178
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,297081.466627,12795.881613,"ns/op",true,,524288
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,3312.642858,99.049610,"ns/op",false,,16
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,4521.920337,220.634289,"ns/op",false,,256
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,22063.620776,621.616944,"ns/op",false,,4096
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,142566.501151,8143.224715,"ns/op",false,,32178
"org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile","avgt",1,50,2240057.292569,79558.949606,"ns/op",false,,524288
